Parameter S1 S1_conf ST ST_conf
alpha -6.030350 0.000000 14.414855 0.000000
N -1.350522 0.000000 0.722984 0.000000
M -16.897592 0.000000 113.181374 0.000000
k1 1.004250 0.000000 0.399769 0.000000
k2 -4.380857 0.000000 7.607527 0.000000
tau1 -3.355989 0.000000 4.464433 0.000000
tau2 -0.979386 0.000000 0.380218 0.000000
tauAch -24.310605 0.000000 234.270076 0.000000
tauNor 0.470590 0.000000 0.087783 0.000000
beta -3.924821 0.000000 6.106116 0.000000
h0 24.145655 0.000000 231.101782 0.000000
mNor 2.533669 0.000000 2.544632 0.000000
mAch -3.012749 0.000000 3.597918 0.000000

Parameter_1 Parameter_2 S2 S2_conf
alpha N 4.848107 0.000000
alpha M 13.369097 0.000000
alpha k1 3.557511 0.000000
alpha k2 6.508964 0.000000
alpha tau1 5.947257 0.000000
alpha tau2 4.644696 0.000000
alpha tauAch 17.431998 0.000000
alpha tauNor 3.849997 0.000000
alpha beta 6.259021 0.000000
alpha h0 -9.125760 0.000000
alpha mNor 2.719271 0.000000
alpha mAch 5.759135 0.000000
N M 7.041270 0.000000
N k1 -0.567013 0.000000
N k2 1.721658 0.000000
N tau1 1.286088 0.000000
N tau2 0.276032 0.000000
N tauAch 10.191800 0.000000
N tauNor -0.340208 0.000000
N beta 1.527842 0.000000
N h0 -10.402110 0.000000
N mNor -1.217016 0.000000
N mAch 1.140212 0.000000
M k1 6.665679 0.000000
M k2 18.877963 0.000000
M tau1 16.553778 0.000000
M tau2 11.164145 0.000000
M tauAch 64.074414 0.000000
M tauNor 7.875906 0.000000
M beta 17.843769 0.000000
M h0 -45.814134 0.000000
M mNor 3.197281 0.000000
M mAch 15.775383 0.000000
k1 k2 9.008019 0.000000
k1 tau1 -2.742491 0.000000
k1 tau2 -29.991158 0.000000
k1 tauAch 237.510237 0.000000
k1 tauNor -46.615695 0.000000
k1 beta 3.779390 0.000000
k1 h0 -318.059421 0.000000
k1 mNor -70.269680 0.000000
k1 mAch -6.677869 0.000000
k2 tau1 1.153945 0.000000
k2 tau2 -49.431135 0.000000
k2 tauAch 447.164879 0.000000
k2 tauNor -80.293326 0.000000
k2 beta 13.261320 0.000000
k2 h0 -584.207978 0.000000
k2 mNor -124.205151 0.000000
k2 mAch -6.151785 0.000000
tau1 tau2 -1.233686 0.000000
tau1 tauAch 41.121449 0.000000
tau1 tauNor -3.865951 0.000000
tau1 beta 4.113412 0.000000
tau1 h0 -46.845299 0.000000
tau1 mNor -7.611231 0.000000
tau1 mAch 2.457650 0.000000
tau2 tauAch 58.707733 0.000000
tau2 tauNor -10.060083 0.000000
tau2 beta 2.137184 0.000000
tau2 h0 -75.758389 0.000000
tau2 mNor -15.785125 0.000000
tau2 mAch -0.393816 0.000000
tauAch tauNor 19.322570 0.000000
tauAch beta 24.833740 0.000000
tauAch h0 -10.362319 0.000000
tauAch mNor 16.735787 0.000000
tauAch mAch 23.690142 0.000000
tauNor beta -0.205011 0.000000
tauNor h0 -18.072949 0.000000
tauNor mNor -4.316088 0.000000
tauNor mAch -0.785580 0.000000
beta h0 36.683289 0.000000
beta mNor 11.081397 0.000000
beta mAch 4.511025 0.000000
h0 mNor -68.572191 0.000000
h0 mAch -27.784689 0.000000
mNor mAch 2.003704 0.000000
