Parameter S1 S1_conf ST ST_conf
alpha 0.324329 0.000000 0.015340 0.000000
N 0.939892 0.000000 0.128827 0.000000
M 9.412157 0.000000 12.919003 0.000000
k1 2.022091 0.000000 0.596283 0.000000
k2 1.985687 0.000000 0.575006 0.000000
tau1 0.552683 0.000000 0.044545 0.000000
tau2 0.720639 0.000000 0.075733 0.000000
tauAch 0.906797 0.000000 0.119914 0.000000
tauNor 2.050222 0.000000 0.612989 0.000000
beta 0.565921 0.000000 0.046705 0.000000
h0 -2.866008 0.000000 1.197859 0.000000
mNor 1.572002 0.000000 0.360377 0.000000
mAch 1.653085 0.000000 0.398511 0.000000

Parameter_1 Parameter_2 S2 S2_conf
alpha N -0.810712 0.000000
alpha M -7.005443 0.000000
alpha k1 -1.601992 0.000000
alpha k2 -1.575374 0.000000
alpha tau1 -0.527593 0.000000
alpha tau2 -0.650399 0.000000
alpha tauAch -0.786514 0.000000
alpha tauNor -1.622561 0.000000
alpha beta -0.537273 0.000000
alpha h0 1.972077 0.000000
alpha mNor -1.272897 0.000000
alpha mAch -1.332183 0.000000
N M -4.569302 0.000000
N k1 -1.633962 0.000000
N k2 -1.619503 0.000000
N tau1 -1.050312 0.000000
N tau2 -1.117024 0.000000
N tauAch -1.190967 0.000000
N tauNor -1.645136 0.000000
N beta -1.055570 0.000000
N h0 0.307595 0.000000
N mNor -1.455187 0.000000
N mAch -1.487393 0.000000
M k1 -10.015990 0.000000
M k2 -10.003410 0.000000
M tau1 -9.508221 0.000000
M tau2 -9.566260 0.000000
M tauAch -9.630589 0.000000
M tauNor -10.025711 0.000000
M beta -9.512796 0.000000
M h0 -8.326859 0.000000
M mNor -9.860457 0.000000
M mAch -9.888476 0.000000
k1 k2 -2.758680 0.000000
k1 tau1 -2.141769 0.000000
k1 tau2 -2.214075 0.000000
k1 tauAch -2.294216 0.000000
k1 tauNor -2.786463 0.000000
k1 beta -2.147468 0.000000
k1 h0 -0.670016 0.000000
k1 mNor -2.580588 0.000000
k1 mAch -2.615494 0.000000
k2 tau1 -1.969050 0.000000
k2 tau2 -1.958999 0.000000
k2 tauAch -1.947858 0.000000
k2 tauNor -1.879429 0.000000
k2 beta -1.968258 0.000000
k2 h0 -2.173644 0.000000
k2 mNor -1.908049 0.000000
k2 mAch -1.903196 0.000000
tau1 tau2 -0.933636 0.000000
tau1 tauAch -1.092661 0.000000
tau1 tauNor -2.069429 0.000000
tau1 beta -0.801469 0.000000
tau1 h0 2.130247 0.000000
tau1 mNor -1.660911 0.000000
tau1 mAch -1.730175 0.000000
tau2 tauAch -1.223704 0.000000
tau2 tauNor -2.133698 0.000000
tau2 beta -0.952417 0.000000
tau2 h0 1.778881 0.000000
tau2 mNor -1.753107 0.000000
tau2 mAch -1.817636 0.000000
tauAch tauNor -2.750886 0.000000
tauAch beta -1.209276 0.000000
tauAch h0 2.355160 0.000000
tauAch mNor -2.254202 0.000000
tauAch mAch -2.338415 0.000000
tauNor beta -2.145520 0.000000
tauNor h0 -1.022523 0.000000
tauNor mNor -2.474730 0.000000
tauNor mAch -2.501261 0.000000
beta h0 1.677433 0.000000
beta mNor -1.492575 0.000000
beta mAch -1.550491 0.000000
h0 mNor 5.475666 0.000000
h0 mAch 5.638770 0.000000
mNor mAch -15.638047 0.000000
