Parameter S1 S1_conf ST ST_conf
alpha 0.030490 0.000000 0.293969 0.000000
N 0.068955 0.000000 1.503577 0.000000
M 0.077063 0.000000 1.877927 0.000000
k1 0.067579 0.000000 1.444136 0.000000
k2 0.076229 0.000000 1.837521 0.000000
tau1 0.077754 0.000000 1.911790 0.000000
tau2 0.067749 0.000000 1.451426 0.000000
tauAch 0.068612 0.000000 1.488651 0.000000
tauNor 0.077974 0.000000 1.922585 0.000000
beta 0.079008 0.000000 1.973938 0.000000
h0 0.086680 0.000000 2.375922 0.000000
mNor 0.054525 0.000000 0.940115 0.000000
mAch 0.080552 0.000000 2.051818 0.000000

Parameter_1 Parameter_2 S2 S2_conf
alpha N 0.029298 0.000000
alpha M -0.024611 0.000000
alpha k1 0.038452 0.000000
alpha k2 -0.019069 0.000000
alpha tau1 -0.029211 0.000000
alpha tau2 0.037320 0.000000
alpha tauAch 0.031579 0.000000
alpha tauNor -0.030668 0.000000
alpha beta -0.037547 0.000000
alpha h0 -0.088563 0.000000
alpha mNor 0.125250 0.000000
alpha mAch -0.047810 0.000000
N M -0.069673 0.000000
N k1 -0.077376 0.000000
N k2 -0.070350 0.000000
N tau1 -0.069112 0.000000
N tau2 -0.077238 0.000000
N tauAch -0.076537 0.000000
N tauNor -0.068934 0.000000
N beta -0.068093 0.000000
N h0 -0.061862 0.000000
N mNor -0.087978 0.000000
N mAch -0.066840 0.000000
M k1 -0.073744 0.000000
M k2 -0.076513 0.000000
M tau1 -0.077001 0.000000
M tau2 -0.073798 0.000000
M tauAch -0.074075 0.000000
M tauNor -0.077071 0.000000
M beta -0.077402 0.000000
M h0 -0.079858 0.000000
M mNor -0.069565 0.000000
M mAch -0.077897 0.000000
k1 k2 -0.067394 0.000000
k1 tau1 -0.067558 0.000000
k1 tau2 -0.066480 0.000000
k1 tauAch -0.066573 0.000000
k1 tauNor -0.067581 0.000000
k1 beta -0.067693 0.000000
k1 h0 -0.068520 0.000000
k1 mNor -0.065055 0.000000
k1 mAch -0.067859 0.000000
k2 tau1 -0.076749 0.000000
k2 tau2 -0.103766 0.000000
k2 tauAch -0.101435 0.000000
k2 tauNor -0.076157 0.000000
k2 beta -0.073363 0.000000
k2 h0 -0.052646 0.000000
k2 mNor -0.139475 0.000000
k2 mAch -0.069195 0.000000
tau1 tau2 -0.206232 0.000000
tau1 tauAch -0.195356 0.000000
tau1 tauNor -0.077417 0.000000
tau1 beta -0.064384 0.000000
tau1 h0 0.032276 0.000000
tau1 mNor -0.372833 0.000000
tau1 mAch -0.044938 0.000000
tau2 tauAch -0.104456 0.000000
tau2 tauNor -0.067643 0.000000
tau2 beta -0.063575 0.000000
tau2 h0 -0.033405 0.000000
tau2 mNor -0.159853 0.000000
tau2 mAch -0.057506 0.000000
tauAch tauNor -0.068543 0.000000
tauAch beta -0.065864 0.000000
tauAch h0 -0.045995 0.000000
tauAch mNor -0.129266 0.000000
tauAch mAch -0.061867 0.000000
tauNor beta -0.073529 0.000000
tauNor h0 -0.041399 0.000000
tauNor mNor -0.176060 0.000000
tauNor mAch -0.067065 0.000000
beta h0 -0.128561 0.000000
beta mNor 0.053884 0.000000
beta mAch -0.093788 0.000000
h0 mNor -0.091463 0.000000
h0 mAch -0.086148 0.000000
mNor mAch -0.053962 0.000000
