Parameter S1 S1_conf ST ST_conf
alpha 0.058226 0.000000 0.000873 0.000000
N 2.618248 0.000000 1.765342 0.000000
M 7.603956 0.000000 14.889714 0.000000
k1 1.362926 0.000000 0.478356 0.000000
k2 0.616774 0.000000 0.097962 0.000000
tau1 0.886513 0.000000 0.202385 0.000000
tau2 1.781684 0.000000 0.817463 0.000000
tauAch 1.290382 0.000000 0.428789 0.000000
tauNor 0.526373 0.000000 0.071350 0.000000
beta 1.029032 0.000000 0.272688 0.000000
h0 0.665979 0.000000 0.114216 0.000000
mNor -0.035011 0.000000 0.000316 0.000000
mAch -0.086881 0.000000 0.001944 0.000000

Parameter_1 Parameter_2 S2 S2_conf
alpha N -2.141236 0.000000
alpha M -7.998612 0.000000
alpha k1 -0.666441 0.000000
alpha k2 0.210163 0.000000
alpha tau1 -0.106735 0.000000
alpha tau2 -1.158412 0.000000
alpha tauAch -0.581214 0.000000
alpha tauNor 0.316369 0.000000
alpha beta -0.274172 0.000000
alpha h0 0.152356 0.000000
alpha mNor 0.975902 0.000000
alpha mAch 1.036840 0.000000
N M 17.430101 0.000000
N k1 -1.082591 0.000000
N k2 -3.295892 0.000000
N tau1 -2.495768 0.000000
N tau2 0.159566 0.000000
N tauAch -1.297778 0.000000
N tauNor -3.564047 0.000000
N beta -2.073014 0.000000
N h0 -3.149936 0.000000
N mNor -5.229275 0.000000
N mAch -5.383133 0.000000
M k1 -8.141275 0.000000
M k2 -7.366852 0.000000
M tau1 -7.646811 0.000000
M tau2 -8.575900 0.000000
M tauAch -8.065982 0.000000
M tauNor -7.273026 0.000000
M beta -7.794731 0.000000
M h0 -7.417921 0.000000
M mNor -6.690371 0.000000
M mAch -6.636536 0.000000
k1 k2 -1.339732 0.000000
k1 tau1 -1.367118 0.000000
k1 tau2 -1.458003 0.000000
k1 tauAch -1.408122 0.000000
k1 tauNor -1.330553 0.000000
k1 beta -1.381588 0.000000
k1 h0 -1.344727 0.000000
k1 mNor -1.273557 0.000000
k1 mAch -1.268290 0.000000
k2 tau1 -0.650833 0.000000
k2 tau2 -1.389235 0.000000
k2 tauAch -0.983973 0.000000
k2 tauNor -0.353764 0.000000
k2 beta -0.768394 0.000000
k2 h0 -0.468921 0.000000
k2 mNor 0.109307 0.000000
k2 mAch 0.152092 0.000000
tau1 tau2 -1.849589 0.000000
tau1 tauAch -1.344324 0.000000
tau1 tauNor -0.558602 0.000000
tau1 beta -1.075547 0.000000
tau1 h0 -0.702175 0.000000
tau1 mNor 0.018737 0.000000
tau1 mAch 0.072080 0.000000
tau2 tauAch -2.628856 0.000000
tau2 tauNor -1.174889 0.000000
tau2 beta -2.131489 0.000000
tau2 h0 -1.440570 0.000000
tau2 mNor -0.106531 0.000000
tau2 mAch -0.007820 0.000000
tauAch tauNor -1.130832 0.000000
tauAch beta -1.382359 0.000000
tauAch h0 -1.200690 0.000000
tauAch mNor -0.849920 0.000000
tauAch mAch -0.823965 0.000000
tauNor beta -0.756226 0.000000
tauNor h0 -0.302231 0.000000
tauNor mNor 0.574350 0.000000
tauNor mAch 0.639212 0.000000
beta h0 -0.757251 0.000000
beta mNor 0.305638 0.000000
beta mAch 0.384285 0.000000
h0 mNor 0.111084 0.000000
h0 mAch 0.156873 0.000000
mNor mAch 1.121742 0.000000
