Parameter S1 S1_conf ST ST_conf
alpha -5.069828 0.000000 1.716273 0.000000
N 8.893411 0.000000 5.281250 0.000000
M 61.983414 0.000000 256.537588 0.000000
k1 3.160687 0.000000 0.667057 0.000000
k2 2.410289 0.000000 0.387917 0.000000
tau1 -2.778859 0.000000 0.515624 0.000000
tau2 -1.039421 0.000000 0.072141 0.000000
tauAch 36.846403 0.000000 90.654678 0.000000
tauNor 7.620651 0.000000 3.877789 0.000000
beta 0.273113 0.000000 0.004981 0.000000
h0 3.584941 0.000000 0.858152 0.000000
mNor -7.021393 0.000000 3.291900 0.000000
mAch 2.500443 0.000000 0.417478 0.000000

Parameter_1 Parameter_2 S2 S2_conf
alpha N 21.726324 0.000000
alpha M 102.790097 0.000000
alpha k1 12.972958 0.000000
alpha k2 11.827166 0.000000
alpha tau1 3.903792 0.000000
alpha tau2 6.559762 0.000000
alpha tauAch 64.408088 0.000000
alpha tauNor 19.782931 0.000000
alpha beta 8.563886 0.000000
alpha h0 13.620756 0.000000
alpha mNor -2.574184 0.000000
alpha mAch 11.964823 0.000000
N M -18.117008 0.000000
N k1 -9.639370 0.000000
N k2 -9.531221 0.000000
N tau1 -8.783351 0.000000
N tau2 -9.034042 0.000000
N tauAch -14.494216 0.000000
N tauNor -10.282148 0.000000
N beta -9.223207 0.000000
N h0 -9.700514 0.000000
N mNor -8.171910 0.000000
N mAch -9.544214 0.000000
M k1 -62.782525 0.000000
M k2 -62.666670 0.000000
M tau1 -61.865513 0.000000
M tau2 -62.134066 0.000000
M tauAch -67.983294 0.000000
M tauNor -63.471103 0.000000
M beta -62.336710 0.000000
M h0 -62.848026 0.000000
M mNor -61.210504 0.000000
M mAch -62.680589 0.000000
k1 k2 32.606822 0.000000
k1 tau1 -9.332672 0.000000
k1 tau2 4.725738 0.000000
k1 tauAch 310.924764 0.000000
k1 tauNor 74.717760 0.000000
k1 beta 15.333837 0.000000
k1 h0 42.100535 0.000000
k1 mNor -43.621477 0.000000
k1 mAch 33.335459 0.000000
k2 tau1 -2.571458 0.000000
k2 tau2 -2.204352 0.000000
k2 tauAch 5.791381 0.000000
k2 tauNor -0.376660 0.000000
k2 beta -1.927344 0.000000
k2 h0 -1.228389 0.000000
k2 mNor -3.466836 0.000000
k2 mAch -1.457270 0.000000
tau1 tau2 1.356995 0.000000
tau1 tauAch -53.848447 0.000000
tau1 tauNor -11.262054 0.000000
tau1 beta -0.555568 0.000000
tau1 h0 -5.381407 0.000000
tau1 mNor 10.073643 0.000000
tau1 mAch -3.801128 0.000000
tau2 tauAch -19.657412 0.000000
tau2 tauNor -4.092422 0.000000
tau2 beta -0.179286 0.000000
tau2 h0 -1.943092 0.000000
tau2 mNor 3.705607 0.000000
tau2 mAch -1.365513 0.000000
tauAch tauNor -44.380386 0.000000
tauAch beta -38.635569 0.000000
tauAch h0 -41.224986 0.000000
tauAch mNor -32.932216 0.000000
tauAch mAch -40.377051 0.000000
tauNor beta -8.746982 0.000000
tauNor h0 -10.377096 0.000000
tauNor mNor -5.156556 0.000000
tauNor mAch -9.843296 0.000000
beta h0 -10.410485 0.000000
beta mNor 8.789083 0.000000
beta mAch -8.447329 0.000000
h0 mNor -3.542395 0.000000
h0 mAch -3.623317 0.000000
mNor mAch 1.870933 0.000000
