Parameter S1 S1_conf ST ST_conf
alpha 0.589418 0.000000 0.037139 0.000000
N 1.467943 0.000000 0.230355 0.000000
M 24.479907 0.000000 64.061816 0.000000
k1 0.432539 0.000000 0.020000 0.000000
k2 0.545716 0.000000 0.031836 0.000000
tau1 0.584936 0.000000 0.036576 0.000000
tau2 -0.309276 0.000000 0.010225 0.000000
tauAch -31.620159 0.000000 106.882805 0.000000
tauNor 2.982949 0.000000 0.951199 0.000000
beta 0.555801 0.000000 0.033023 0.000000
h0 -1.579999 0.000000 0.266866 0.000000
mNor 2.606439 0.000000 0.726231 0.000000
mAch 1.772177 0.000000 0.335733 0.000000

Parameter_1 Parameter_2 S2 S2_conf
alpha N -1.565152 0.000000
alpha M -13.903623 0.000000
alpha k1 -1.009993 0.000000
alpha k2 -1.070676 0.000000
alpha tau1 -1.091705 0.000000
alpha tau2 -0.612249 0.000000
alpha tauAch 16.175905 0.000000
alpha tauNor -2.377463 0.000000
alpha beta -1.076084 0.000000
alpha h0 0.069082 0.000000
alpha mNor -2.175587 0.000000
alpha mAch -1.728275 0.000000
N M -19.517673 0.000000
N k1 -2.038106 0.000000
N k2 -2.120372 0.000000
N tau1 -2.148880 0.000000
N tau2 -1.498894 0.000000
N tauAch 21.260382 0.000000
N tauNor -3.891950 0.000000
N beta -2.127703 0.000000
N h0 -0.575230 0.000000
N mNor -3.618272 0.000000
N mAch -3.011863 0.000000
M k1 -24.992189 0.000000
M k2 -25.066104 0.000000
M tau1 -25.091718 0.000000
M tau2 -24.507716 0.000000
M tauAch -4.058874 0.000000
M tauNor -26.657838 0.000000
M beta -25.072690 0.000000
M h0 -23.677819 0.000000
M mNor -26.411942 0.000000
M mAch -25.867094 0.000000
k1 k2 0.256877 0.000000
k1 tau1 0.287002 0.000000
k1 tau2 -0.399832 0.000000
k1 tauAch -24.449351 0.000000
k1 tauNor 2.128887 0.000000
k1 beta 0.264623 0.000000
k1 h0 -1.375860 0.000000
k1 mNor 1.839694 0.000000
k1 mAch 1.198907 0.000000
k2 tau1 -1.322712 0.000000
k2 tau2 -0.581034 0.000000
k2 tauAch 25.388845 0.000000
k2 tauNor -3.311673 0.000000
k2 beta -1.298547 0.000000
k2 h0 0.472929 0.000000
k2 mNor -2.999387 0.000000
k2 mAch -2.307433 0.000000
tau1 tau2 -0.620009 0.000000
tau1 tauAch 25.169837 0.000000
tau1 tauNor -3.331718 0.000000
tau1 beta -1.332548 0.000000
tau1 h0 0.426648 0.000000
tau1 mNor -3.021597 0.000000
tau1 mAch -2.334440 0.000000
tau2 tauAch 21.089887 0.000000
tau2 tauNor -1.907004 0.000000
tau2 beta -0.293945 0.000000
tau2 h0 1.125487 0.000000
tau2 mNor -1.656779 0.000000
tau2 mAch -1.102336 0.000000
tauAch tauNor 27.978556 0.000000
tauAch beta 30.628997 0.000000
tauAch h0 32.961288 0.000000
tauAch mNor 28.389705 0.000000
tauAch mAch 29.300718 0.000000
tauNor beta -3.422427 0.000000
tauNor h0 -2.388298 0.000000
tauNor mNor -4.415321 0.000000
tauNor mAch -4.011381 0.000000
beta h0 -0.049127 0.000000
beta mNor -1.776258 0.000000
beta mAch -1.432080 0.000000
h0 mNor 37.812403 0.000000
h0 mAch 27.594591 0.000000
mNor mAch -4.966591 0.000000
