Parameter S1 S1_conf ST ST_conf
alpha 6.944703 0.000000 2.239145 0.000000
N 0.300436 0.000000 0.004191 0.000000
M 50.935529 0.000000 120.452688 0.000000
k1 4.731874 0.000000 1.039540 0.000000
k2 -1.710177 0.000000 0.135787 0.000000
tau1 -1.045750 0.000000 0.050773 0.000000
tau2 7.857568 0.000000 2.866495 0.000000
tauAch 3.928784 0.000000 0.716624 0.000000
tauNor -2.374603 0.000000 0.261792 0.000000
beta -6.933148 0.000000 2.231700 0.000000
h0 -0.415989 0.000000 0.008034 0.000000
mNor -0.652871 0.000000 0.019789 0.000000
mAch -3.882563 0.000000 0.699861 0.000000

Parameter_1 Parameter_2 S2 S2_conf
alpha N -8.288931 0.000000
alpha M -23.392531 0.000000
alpha k1 -9.610754 0.000000
alpha k2 -7.689199 0.000000
alpha tau1 -7.887386 0.000000
alpha tau2 -10.543097 0.000000
alpha tauAch -9.371206 0.000000
alpha tauNor -7.491011 0.000000
alpha beta -6.131274 0.000000
alpha h0 -8.075233 0.000000
alpha mNor -8.004575 0.000000
alpha mAch -7.041212 0.000000
N M -47.395656 0.000000
N k1 -7.934165 0.000000
N k2 -2.432156 0.000000
N tau1 -2.999628 0.000000
N tau2 -10.603749 0.000000
N tauAch -7.248264 0.000000
N tauNor -1.864685 0.000000
N beta 2.028665 0.000000
N h0 -3.537493 0.000000
N mNor -3.335177 0.000000
N mAch -0.576770 0.000000
M k1 -59.489908 0.000000
M k2 -53.324340 0.000000
M tau1 -53.960251 0.000000
M tau2 -62.481452 0.000000
M tauAch -58.721285 0.000000
M tauNor -52.688430 0.000000
M beta -48.325531 0.000000
M h0 -54.562984 0.000000
M mNor -54.336268 0.000000
M mAch -51.245189 0.000000
k1 k2 3.969079 0.000000
k1 tau1 6.285304 0.000000
k1 tau2 37.322729 0.000000
k1 tauAch 23.626785 0.000000
k1 tauNor 1.652853 0.000000
k1 beta -14.238470 0.000000
k1 h0 8.480683 0.000000
k1 mNor 7.654899 0.000000
k1 mAch -3.603972 0.000000
k2 tau1 3.622669 0.000000
k2 tau2 9.010514 0.000000
k2 tauAch 6.633009 0.000000
k2 tauNor 2.818513 0.000000
k2 beta 0.059909 0.000000
k2 h0 4.003769 0.000000
k2 mNor 3.860420 0.000000
k2 mAch 1.905971 0.000000
tau1 tau2 -13.296047 0.000000
tau1 tauAch -8.625347 0.000000
tau1 tauNor -1.131621 0.000000
tau1 beta 4.287765 0.000000
tau1 h0 -3.460102 0.000000
tau1 mNor -3.178486 0.000000
tau1 mAch 0.661104 0.000000
tau2 tauAch -30.673676 0.000000
tau2 tauNor -12.994433 0.000000
tau2 beta -0.208986 0.000000
tau2 h0 -18.487800 0.000000
tau2 mNor -17.823411 0.000000
tau2 mAch -8.765027 0.000000
tauAch tauNor -3.480733 0.000000
tauAch beta -4.595914 0.000000
tauAch h0 -3.001587 0.000000
tauAch mNor -3.059537 0.000000
tauAch mAch -3.849633 0.000000
tauNor beta 3.310925 0.000000
tauNor h0 1.073274 0.000000
tauNor mNor 1.154607 0.000000
tauNor mAch 2.263514 0.000000
beta h0 13.586193 0.000000
beta mNor 13.170378 0.000000
beta mAch 7.501091 0.000000
h0 mNor 12.272825 0.000000
h0 mAch 1.495636 0.000000
mNor mAch -3.961491 0.000000
