Parameter S1 S1_conf ST ST_conf
alpha -0.299180 0.000000 0.009640 0.000000
N 0.502622 0.000000 0.027207 0.000000
M 0.105607 0.000000 0.001201 0.000000
k1 -1.102214 0.000000 0.130835 0.000000
k2 -0.256122 0.000000 0.007065 0.000000
tau1 0.554438 0.000000 0.033105 0.000000
tau2 0.032324 0.000000 0.000113 0.000000
tauAch -0.375301 0.000000 0.015169 0.000000
tauNor -2.678428 0.000000 0.772596 0.000000
beta -0.256863 0.000000 0.007105 0.000000
h0 1.247795 0.000000 0.167679 0.000000
mNor -1.051878 0.000000 0.119158 0.000000
mAch -0.254642 0.000000 0.006983 0.000000

Parameter_1 Parameter_2 S2 S2_conf
alpha N -0.526133 0.000000
alpha M -0.134183 0.000000
alpha k1 1.058233 0.000000
alpha k2 0.222933 0.000000
alpha tau1 -0.577289 0.000000
alpha tau2 -0.061834 0.000000
alpha tauAch 0.340591 0.000000
alpha tauNor 2.614342 0.000000
alpha beta 0.223664 0.000000
alpha h0 -1.261801 0.000000
alpha mNor 1.008539 0.000000
alpha mAch 0.221472 0.000000
N M -0.908269 0.000000
N k1 0.207888 0.000000
N k2 -0.573992 0.000000
N tau1 -1.323037 0.000000
N tau2 -0.840547 0.000000
N tauAch -0.463858 0.000000
N tauNor 1.664478 0.000000
N beta -0.573308 0.000000
N h0 -1.963772 0.000000
N mNor 0.161372 0.000000
N mAch -0.575360 0.000000
M k1 0.685482 0.000000
M k2 -0.185072 0.000000
M tau1 -1.019067 0.000000
M tau2 -0.481857 0.000000
M tauAch -0.062448 0.000000
M tauNor 2.307266 0.000000
M beta -0.184310 0.000000
M h0 -1.732469 0.000000
M mNor 0.633691 0.000000
M mAch -0.186595 0.000000
k1 k2 1.040777 0.000000
k1 tau1 0.395982 0.000000
k1 tau2 0.811320 0.000000
k1 tauAch 1.135583 0.000000
k1 tauNor 2.967705 0.000000
k1 beta 1.041366 0.000000
k1 h0 -0.155578 0.000000
k1 mNor 1.673796 0.000000
k1 mAch 1.039600 0.000000
k2 tau1 -0.511118 0.000000
k2 tau2 -0.059900 0.000000
k2 tauAch 0.292373 0.000000
k2 tauNor 2.282762 0.000000
k2 beta 0.190018 0.000000
k2 h0 -1.110324 0.000000
k2 mNor 0.877079 0.000000
k2 mAch 0.188099 0.000000
tau1 tau2 -0.893977 0.000000
tau1 tauAch -0.515490 0.000000
tau1 tauNor 1.623006 0.000000
tau1 beta -0.625462 0.000000
tau1 h0 -2.022563 0.000000
tau1 mNor 0.112725 0.000000
tau1 mAch -0.627524 0.000000
tau2 tauAch 0.144309 0.000000
tau2 tauNor 9.842512 0.000000
tau2 beta -0.354420 0.000000
tau2 h0 -6.690357 0.000000
tau2 mNor 2.993299 0.000000
tau2 mAch -0.363771 0.000000
tauAch tauNor 2.903833 0.000000
tauAch beta 0.292825 0.000000
tauAch h0 -1.329543 0.000000
tauAch mNor 1.150036 0.000000
tauAch mAch 0.290431 0.000000
tauNor beta 2.612946 0.000000
tauNor h0 1.324865 0.000000
tauNor mNor 3.293530 0.000000
tauNor mAch 2.611045 0.000000
beta h0 -1.346470 0.000000
beta mNor 0.985468 0.000000
beta mAch 0.177046 0.000000
h0 mNor -0.489021 0.000000
h0 mAch -1.330916 0.000000
mNor mAch 0.972645 0.000000
