Parameter S1 S1_conf ST ST_conf
alpha -54.122193 0.000000 474.933156 0.000000
N 1.390400 0.000000 0.313445 0.000000
M 0.412882 0.000000 0.027640 0.000000
k1 -39.564388 0.000000 253.799421 0.000000
k2 1.259140 0.000000 0.257057 0.000000
tau1 0.691110 0.000000 0.077442 0.000000
tau2 1.989865 0.000000 0.641991 0.000000
tauAch -2.596569 0.000000 1.093155 0.000000
tauNor 2.324437 0.000000 0.876026 0.000000
beta 1.419851 0.000000 0.326864 0.000000
h0 -5.923189 0.000000 5.688436 0.000000
mNor 0.368134 0.000000 0.021973 0.000000
mAch 2.635510 0.000000 1.126188 0.000000

Parameter_1 Parameter_2 S2 S2_conf
alpha N 52.141526 0.000000
alpha M 54.154025 0.000000
alpha k1 136.458674 0.000000
alpha k2 52.411762 0.000000
alpha tau1 53.581215 0.000000
alpha tau2 50.907356 0.000000
alpha tauAch 60.349843 0.000000
alpha tauNor 50.218543 0.000000
alpha beta 52.080893 0.000000
alpha h0 67.198640 0.000000
alpha mNor 54.246153 0.000000
alpha mAch 49.578111 0.000000
N M -1.379695 0.000000
N k1 26.299814 0.000000
N k2 -1.965627 0.000000
N tau1 -1.572334 0.000000
N tau2 -2.471567 0.000000
N tauAch 0.703993 0.000000
N tauNor -2.703219 0.000000
N beta -2.076900 0.000000
N h0 3.007282 0.000000
N mNor -1.348711 0.000000
N mAch -2.918600 0.000000
M k1 26.784000 0.000000
M k2 -0.977861 0.000000
M tau1 -0.591575 0.000000
M tau2 -1.474788 0.000000
M tauAch 1.644197 0.000000
M tauNor -1.702312 0.000000
M beta -1.087152 0.000000
M h0 3.906450 0.000000
M mNor -0.371937 0.000000
M mAch -1.913856 0.000000
k1 k2 38.777010 0.000000
k1 tau1 39.315355 0.000000
k1 tau2 38.084473 0.000000
k1 tauAch 42.431219 0.000000
k1 tauNor 37.767386 0.000000
k1 beta 38.624698 0.000000
k1 h0 45.583989 0.000000
k1 mNor 39.621452 0.000000
k1 mAch 37.472569 0.000000
k2 tau1 -1.859620 0.000000
k2 tau2 -4.827573 0.000000
k2 tauAch 5.653481 0.000000
k2 tauNor -5.592147 0.000000
k2 beta -3.524960 0.000000
k2 h0 13.255568 0.000000
k2 mNor -1.121545 0.000000
k2 mAch -6.303020 0.000000
tau1 tau2 0.400497 0.000000
tau1 tauAch -2.805724 0.000000
tau1 tauNor 0.634385 0.000000
tau1 beta 0.002019 0.000000
tau1 h0 -5.131252 0.000000
tau1 mNor -0.733201 0.000000
tau1 mAch 0.851845 0.000000
tau2 tauAch -0.707711 0.000000
tau2 tauNor -2.793551 0.000000
tau2 beta -2.410129 0.000000
tau2 h0 0.702325 0.000000
tau2 mNor -1.964344 0.000000
tau2 mAch -2.925404 0.000000
tauAch tauNor 0.720395 0.000000
tauAch beta 1.615479 0.000000
tauAch h0 8.881379 0.000000
tauAch mNor 2.656147 0.000000
tauAch mAch 0.412590 0.000000
tauNor beta -4.190035 0.000000
tauNor h0 9.626474 0.000000
tauNor mNor -2.211146 0.000000
tauNor mAch -6.477394 0.000000
beta h0 -12.082122 0.000000
beta mNor -1.520925 0.000000
beta mAch 2.285303 0.000000
h0 mNor 5.978063 0.000000
h0 mAch 3.911644 0.000000
mNor mAch -4.497670 0.000000
