Parameter S1 S1_conf ST ST_conf
alpha 0.938965 0.000000 0.268114 0.000000
N -5.138052 0.000000 8.028206 0.000000
M 0.431935 0.000000 0.056736 0.000000
k1 0.017221 0.000000 0.000090 0.000000
k2 1.600136 0.000000 0.778638 0.000000
tau1 0.626729 0.000000 0.119449 0.000000
tau2 0.062108 0.000000 0.001173 0.000000
tauAch 0.473717 0.000000 0.068243 0.000000
tauNor -0.710293 0.000000 0.153425 0.000000
beta 0.883067 0.000000 0.237142 0.000000
h0 -0.595111 0.000000 0.107700 0.000000
mNor 3.011689 0.000000 2.758302 0.000000
mAch 0.202981 0.000000 0.012529 0.000000

Parameter_1 Parameter_2 S2 S2_conf
alpha N 10.948950 0.000000
alpha M 0.019381 0.000000
alpha k1 0.833143 0.000000
alpha k2 -2.272893 0.000000
alpha tau1 -0.362850 0.000000
alpha tau2 0.745064 0.000000
alpha tauAch -0.062605 0.000000
alpha tauNor 2.260690 0.000000
alpha beta -0.865843 0.000000
alpha h0 2.034676 0.000000
alpha mNor -5.042678 0.000000
alpha mAch 0.468640 0.000000
N M 5.906875 0.000000
N k1 6.559708 0.000000
N k2 4.067921 0.000000
N tau1 5.600235 0.000000
N tau2 6.489048 0.000000
N tauAch 5.841103 0.000000
N tauNor 7.704944 0.000000
N beta 5.196714 0.000000
N h0 7.523626 0.000000
N mNor 1.845889 0.000000
N mAch 6.267289 0.000000
M k1 0.938549 0.000000
M k2 -1.463547 0.000000
M tau1 0.013611 0.000000
M tau2 0.870432 0.000000
M tauAch 0.245810 0.000000
M tauNor 2.042562 0.000000
M beta -0.375385 0.000000
M h0 1.867770 0.000000
M mNor -3.605597 0.000000
M mAch 0.656655 0.000000
k1 k2 -0.389806 0.000000
k1 tau1 0.143696 0.000000
k1 tau2 0.453152 0.000000
k1 tauAch 0.227559 0.000000
k1 tauNor 0.876487 0.000000
k1 beta 0.003203 0.000000
k1 h0 0.813358 0.000000
k1 mNor -1.163445 0.000000
k1 mAch 0.375943 0.000000
k2 tau1 -1.007889 0.000000
k2 tau2 0.131048 0.000000
k2 tauAch -0.699237 0.000000
k2 tauNor 1.689114 0.000000
k2 beta -1.524966 0.000000
k2 h0 1.456771 0.000000
k2 mNor -5.818759 0.000000
k2 mAch -0.153117 0.000000
tau1 tau2 -55.072087 0.000000
tau1 tauAch -28.959807 0.000000
tau1 tauNor -104.072909 0.000000
tau1 beta -2.990804 0.000000
tau1 h0 -96.765769 0.000000
tau1 mNor 132.048011 0.000000
tau1 mAch -46.135168 0.000000
tau2 tauAch 1.265468 0.000000
tau2 tauNor 4.784971 0.000000
tau2 beta 0.048663 0.000000
tau2 h0 4.442588 0.000000
tau2 mNor -6.278723 0.000000
tau2 mAch 2.070238 0.000000
tauAch tauNor 1.626581 0.000000
tauAch beta -0.425719 0.000000
tauAch h0 1.478222 0.000000
tauAch mNor -3.167452 0.000000
tauAch mAch 0.450254 0.000000
tauNor beta 0.672875 0.000000
tauNor h0 -0.811395 0.000000
tauNor mNor 2.810268 0.000000
tauNor mAch -0.010014 0.000000
beta h0 -0.229429 0.000000
beta mNor -1.785109 0.000000
beta mAch -0.573660 0.000000
h0 mNor -0.370131 0.000000
h0 mAch 0.926196 0.000000
mNor mAch -1.952906 0.000000
