Parameter S1 S1_conf ST ST_conf
alpha 5.561857 0.000000 3.558457 0.000000
N 0.267037 0.000000 0.008203 0.000000
M -0.615716 0.000000 0.043610 0.000000
k1 2.849814 0.000000 0.934233 0.000000
k2 -1.472957 0.000000 0.249576 0.000000
tau1 0.716068 0.000000 0.058983 0.000000
tau2 2.869374 0.000000 0.947101 0.000000
tauAch 11.940134 0.000000 16.399871 0.000000
tauNor 0.135645 0.000000 0.002117 0.000000
beta 16.369209 0.000000 30.823179 0.000000
h0 1.170201 0.000000 0.157523 0.000000
mNor -216.609675 0.000000 5397.314686 0.000000
mAch 4.531128 0.000000 2.361754 0.000000

Parameter_1 Parameter_2 S2 S2_conf
alpha N -5.706996 0.000000
alpha M -5.418387 0.000000
alpha k1 -6.551414 0.000000
alpha k2 -5.138119 0.000000
alpha tau1 -5.853803 0.000000
alpha tau2 -6.557809 0.000000
alpha tauAch -9.523420 0.000000
alpha tauNor -5.664038 0.000000
alpha beta -10.971470 0.000000
alpha h0 -6.002278 0.000000
alpha mNor 65.199086 0.000000
alpha mAch -7.101106 0.000000
N M -0.100213 0.000000
N k1 -1.417671 0.000000
N k2 0.225676 0.000000
N tau1 -0.606505 0.000000
N tau2 -1.425107 0.000000
N tauAch -4.873451 0.000000
N tauNor -0.385851 0.000000
N beta -6.557210 0.000000
N h0 -0.779148 0.000000
N mNor 82.012145 0.000000
N mAch -2.056840 0.000000
M k1 0.760804 0.000000
M k2 0.553588 0.000000
M tau1 0.658521 0.000000
M tau2 0.761742 0.000000
M tauAch 1.196556 0.000000
M tauNor 0.630698 0.000000
M beta 1.408867 0.000000
M h0 0.680290 0.000000
M mNor -9.759168 0.000000
M mAch 0.841399 0.000000
k1 k2 -0.190483 0.000000
k1 tau1 -4.682030 0.000000
k1 tau2 -9.100289 0.000000
k1 tauAch -27.712118 0.000000
k1 tauNor -3.491090 0.000000
k1 beta -36.799912 0.000000
k1 h0 -5.613843 0.000000
k1 mNor 441.237568 0.000000
k1 mAch -12.509957 0.000000
k2 tau1 -2.816425 0.000000
k2 tau2 -13.159962 0.000000
k2 tauAch -56.731910 0.000000
k2 tauNor -0.028327 0.000000
k2 beta -78.007243 0.000000
k2 h0 -4.997882 0.000000
k2 mNor 1041.121027 0.000000
k2 mAch -21.142297 0.000000
tau1 tau2 -5.327485 0.000000
tau1 tauAch -19.058744 0.000000
tau1 tauNor -1.189182 0.000000
tau1 beta -25.763451 0.000000
tau1 h0 -2.755287 0.000000
tau1 mNor 326.918534 0.000000
tau1 mAch -7.843037 0.000000
tau2 tauAch 1.656433 0.000000
tau2 tauNor -2.752639 0.000000
tau2 beta 3.310729 0.000000
tau2 h0 -2.366224 0.000000
tau2 mNor -83.708776 0.000000
tau2 mAch -1.110891 0.000000
tauAch tauNor -11.902894 0.000000
tauAch beta -9.968587 0.000000
tauAch h0 -11.779621 0.000000
tauAch mNor -37.729131 0.000000
tauAch mAch -11.379151 0.000000
tauNor beta -14.609840 0.000000
tauNor h0 -1.314054 0.000000
tauNor mNor 189.195402 0.000000
tauNor mAch -4.254125 0.000000
beta h0 3.706442 0.000000
beta mNor -3241.857128 0.000000
beta mAch 53.794177 0.000000
h0 mNor 139.123639 0.000000
h0 mAch -4.221985 0.000000
mNor mAch 217.154077 0.000000
