Parameter S1 S1_conf ST ST_conf
alpha -1.547705 0.000000 0.326008 0.000000
N 0.620441 0.000000 0.052391 0.000000
M 32.845572 0.000000 146.826948 0.000000
k1 -0.170364 0.000000 0.003950 0.000000
k2 0.848908 0.000000 0.098078 0.000000
tau1 1.807644 0.000000 0.444711 0.000000
tau2 1.140843 0.000000 0.177135 0.000000
tauAch 1.721712 0.000000 0.403435 0.000000
tauNor 6.413761 0.000000 5.598578 0.000000
beta -1.450388 0.000000 0.286299 0.000000
h0 1.112544 0.000000 0.168456 0.000000
mNor 2.881045 0.000000 1.129672 0.000000
mAch 2.745857 0.000000 1.026143 0.000000

Parameter_1 Parameter_2 S2 S2_conf
alpha N 1.266950 0.000000
alpha M -18.366282 0.000000
alpha k1 1.748750 0.000000
alpha k2 1.127756 0.000000
alpha tau1 0.543645 0.000000
alpha tau2 0.949895 0.000000
alpha tauAch 0.595999 0.000000
alpha tauNor -2.262643 0.000000
alpha beta 2.528608 0.000000
alpha h0 0.967136 0.000000
alpha mNor -0.110328 0.000000
alpha mAch -0.027964 0.000000
N M -181.507339 0.000000
N k1 1.205730 0.000000
N k2 -4.435010 0.000000
N tau1 -9.740736 0.000000
N tau2 -6.050600 0.000000
N tauAch -9.265183 0.000000
N tauNor -35.231393 0.000000
N beta 8.289496 0.000000
N h0 -5.893993 0.000000
N mNor -15.681035 0.000000
N mAch -14.932892 0.000000
M k1 -32.364317 0.000000
M k2 -33.850834 0.000000
M tau1 -35.249063 0.000000
M tau2 -34.276594 0.000000
M tauAch -35.123740 0.000000
M tauNor -41.966673 0.000000
M beta -30.497516 0.000000
M h0 -34.235323 0.000000
M mNor -36.814524 0.000000
M mAch -36.617364 0.000000
k1 k2 -0.668424 0.000000
k1 tau1 -1.835104 0.000000
k1 tau2 -1.023677 0.000000
k1 tauAch -1.730534 0.000000
k1 tauNor -7.440261 0.000000
k1 beta 2.129576 0.000000
k1 h0 -0.989241 0.000000
k1 mNor -3.141320 0.000000
k1 mAch -2.976810 0.000000
k2 tau1 -3.962535 0.000000
k2 tau2 -2.702739 0.000000
k2 tauAch -3.800183 0.000000
k2 tauNor -12.664928 0.000000
k2 beta 2.192903 0.000000
k2 h0 -2.649275 0.000000
k2 mNor -5.990525 0.000000
k2 mAch -5.735113 0.000000
tau1 tau2 3.046861 0.000000
tau1 tauAch 5.920665 0.000000
tau1 tauNor 29.134187 0.000000
tau1 beta -9.773035 0.000000
tau1 h0 2.906857 0.000000
tau1 mNor 11.656370 0.000000
tau1 mAch 10.987538 0.000000
tau2 tauAch 2.154909 0.000000
tau2 tauNor 12.054358 0.000000
tau2 beta -4.537698 0.000000
tau2 h0 0.869665 0.000000
tau2 mNor 4.600911 0.000000
tau2 mAch 4.315686 0.000000
tauAch tauNor -76.145815 0.000000
tauAch beta 17.437370 0.000000
tauAch h0 -13.061457 0.000000
tauAch mNor -34.106582 0.000000
tauAch mAch -32.497845 0.000000
tauNor beta -3.539992 0.000000
tauNor h0 -8.114668 0.000000
tauNor mNor -11.271335 0.000000
tauNor mAch -11.030033 0.000000
beta h0 -0.232756 0.000000
beta mNor -3.356456 0.000000
beta mAch -3.117673 0.000000
h0 mNor -35.242588 0.000000
h0 mAch -33.547160 0.000000
mNor mAch 3.590348 0.000000
