Parameter S1 S1_conf ST ST_conf
alpha 0.157356 0.000000 0.068479 0.000000
N 0.013392 0.000000 0.000496 0.000000
M -0.080352 0.000000 0.017856 0.000000
k1 0.143964 0.000000 0.057319 0.000000
k2 0.115506 0.000000 0.036898 0.000000
tau1 0.147312 0.000000 0.060016 0.000000
tau2 0.006696 0.000000 0.000124 0.000000
tauAch 0.000000 0.000000 0.000000 0.000000
tauNor 0.113832 0.000000 0.035836 0.000000
beta 0.568324 0.000000 0.893269 0.000000
h0 -0.305185 0.000000 0.257583 0.000000
mNor -0.080352 0.000000 0.017856 0.000000
mAch 0.261145 0.000000 0.188604 0.000000

Parameter_1 Parameter_2 S2 S2_conf
alpha N -0.436853 0.000000
alpha M -0.476781 0.000000
alpha k1 -0.381239 0.000000
alpha k2 -0.393360 0.000000
alpha tau1 -0.379813 0.000000
alpha tau2 -0.439705 0.000000
alpha tauAch -0.442557 0.000000
alpha tauNor -0.394073 0.000000
alpha beta -0.200493 0.000000
alpha h0 -0.572543 0.000000
alpha mNor -0.476781 0.000000
alpha mAch -0.331329 0.000000
N M -0.166160 0.000000
N k1 -0.120466 0.000000
N k2 -0.126263 0.000000
N tau1 -0.119784 0.000000
N tau2 -0.148428 0.000000
N tauAch -0.149792 0.000000
N tauNor -0.126604 0.000000
N beta -0.034023 0.000000
N h0 -0.211960 0.000000
N mNor -0.166160 0.000000
N mAch -0.096596 0.000000
M k1 -1.735042 0.000000
M k2 -1.833328 0.000000
M tau1 -1.723479 0.000000
M tau2 -2.209126 0.000000
M tauAch -2.232252 0.000000
M tauNor -1.839110 0.000000
M beta -0.269429 0.000000
M h0 -3.286272 0.000000
M mNor -2.509765 0.000000
M mAch -1.330337 0.000000
k1 k2 -0.205530 0.000000
k1 tau1 -0.201996 0.000000
k1 tau2 -0.217620 0.000000
k1 tauAch -0.218364 0.000000
k1 tauNor -0.205716 0.000000
k1 beta -0.155217 0.000000
k1 h0 -0.252274 0.000000
k1 mNor -0.227292 0.000000
k1 mAch -0.189348 0.000000
k2 tau1 0.366501 0.000000
k2 tau2 0.496272 0.000000
k2 tauAch 0.502451 0.000000
k2 tauNor 0.397398 0.000000
k2 beta -0.022040 0.000000
k2 h0 0.784099 0.000000
k2 mNor 0.576606 0.000000
k2 mAch 0.261448 0.000000
tau1 tau2 -0.202554 0.000000
tau1 tauAch -0.203112 0.000000
tau1 tauNor -0.193626 0.000000
tau1 beta -0.155752 0.000000
tau1 h0 -0.228545 0.000000
tau1 mNor -0.209808 0.000000
tau1 mAch -0.181350 0.000000
tau2 tauAch 1.239506 0.000000
tau2 tauNor 1.027652 0.000000
tau2 beta 0.181792 0.000000
tau2 h0 1.807490 0.000000
tau2 mNor 1.389051 0.000000
tau2 mAch 0.753488 0.000000
tauAch tauNor -0.102920 0.000000
tauAch beta -0.018755 0.000000
tauAch h0 -0.180516 0.000000
tauAch mNor -0.138880 0.000000
tauAch mAch -0.075640 0.000000
tauNor beta -0.110081 0.000000
tauNor h0 -0.077729 0.000000
tauNor mNor -0.086056 0.000000
tauNor mAch -0.098704 0.000000
beta h0 10.623669 0.000000
beta mNor 8.042253 0.000000
beta mAch 4.121365 0.000000
h0 mNor 0.583814 0.000000
h0 mAch 0.456938 0.000000
mNor mAch -2.071610 0.000000
