Parameter S1 S1_conf ST ST_conf
alpha -1.011782 0.000000 0.155450 0.000000
N -0.937579 0.000000 0.133485 0.000000
M 4.663943 0.000000 3.303120 0.000000
k1 -2.111973 0.000000 0.677321 0.000000
k2 8.360444 0.000000 10.613938 0.000000
tau1 2.447718 0.000000 0.909789 0.000000
tau2 -1.240011 0.000000 0.233490 0.000000
tauAch -1.034365 0.000000 0.162467 0.000000
tauNor -0.685511 0.000000 0.071359 0.000000
beta -15.458011 0.000000 36.284832 0.000000
h0 -5.467159 0.000000 4.538804 0.000000
mNor 1.868184 0.000000 0.529977 0.000000
mAch -2.323360 0.000000 0.819692 0.000000

Parameter_1 Parameter_2 S2 S2_conf
alpha N 2.060515 0.000000
alpha M -2.550412 0.000000
alpha k1 3.027225 0.000000
alpha k2 -5.593209 0.000000
alpha tau1 -0.726113 0.000000
alpha tau2 2.309464 0.000000
alpha tauAch 2.140185 0.000000
alpha tauNor 1.853024 0.000000
alpha beta 14.013098 0.000000
alpha h0 5.789067 0.000000
alpha mNor -0.249066 0.000000
alpha mAch 3.201229 0.000000
N M -3.867368 0.000000
N k1 3.656154 0.000000
N k2 -7.971714 0.000000
N tau1 -1.406621 0.000000
N tau2 2.687986 0.000000
N tauAch 2.459650 0.000000
N tauNor 2.072306 0.000000
N beta 18.474698 0.000000
N h0 7.381528 0.000000
N mNor -0.763145 0.000000
N mAch 3.890864 0.000000
M k1 -7.027800 0.000000
M k2 3.082871 0.000000
M tau1 -2.625613 0.000000
M tau2 -6.185958 0.000000
M tauAch -5.987416 0.000000
M tauNor -5.650612 0.000000
M beta -19.912831 0.000000
M h0 -10.267090 0.000000
M mNor -3.185129 0.000000
M mAch -7.231886 0.000000
k1 k2 -5.130220 0.000000
k1 tau1 0.206418 0.000000
k1 tau2 3.534845 0.000000
k1 tauAch 3.349236 0.000000
k1 tauNor 3.034371 0.000000
k1 beta 16.367561 0.000000
k1 h0 7.350135 0.000000
k1 mNor 0.729487 0.000000
k1 mAch 4.512642 0.000000
k2 tau1 -11.486036 0.000000
k2 tau2 -6.026573 0.000000
k2 tauAch -6.331019 0.000000
k2 tauNor -6.847477 0.000000
k2 beta 15.022333 0.000000
k2 h0 0.231471 0.000000
k2 mNor -10.628071 0.000000
k2 mAch -4.422738 0.000000
tau1 tau2 -2.673845 0.000000
tau1 tauAch -2.644347 0.000000
tau1 tauNor -2.594308 0.000000
tau1 beta -4.713256 0.000000
tau1 h0 -3.280182 0.000000
tau1 mNor -2.228010 0.000000
tau1 mAch -2.829239 0.000000
tau2 tauAch 5.598025 0.000000
tau2 tauNor 4.488977 0.000000
tau2 beta 51.452509 0.000000
tau2 h0 19.690406 0.000000
tau2 mNor -3.629523 0.000000
tau2 mAch 9.695893 0.000000
tauAch tauNor 2.907458 0.000000
tauAch beta 29.982857 0.000000
tauAch h0 11.671380 0.000000
tauAch mNor -1.773017 0.000000
tauAch mAch 5.909347 0.000000
tauNor beta 17.486638 0.000000
tauNor h0 6.859022 0.000000
tauNor mNor -0.943837 0.000000
tauNor mAch 3.514854 0.000000
beta h0 31.425955 0.000000
beta mNor 11.243660 0.000000
beta mAch 22.776177 0.000000
h0 mNor 5.853025 0.000000
h0 mAch 4.797109 0.000000
mNor mAch -1.370025 0.000000
