Parameter S1 S1_conf ST ST_conf
alpha 45.983380 0.000000 7.885580 0.000000
N 27.811634 0.000000 2.884595 0.000000
M -3.434903 0.000000 0.044001 0.000000
k1 494.293629 0.000000 911.175156 0.000000
k2 -253.407202 0.000000 239.480277 0.000000
tau1 -22.853186 0.000000 1.947715 0.000000
tau2 125.983380 0.000000 59.191365 0.000000
tauAch -308.365651 0.000000 354.620499 0.000000
tauNor -120.664820 0.000000 54.299169 0.000000
beta -130.152355 0.000000 63.173640 0.000000
h0 46.648199 0.000000 8.115245 0.000000
mNor 1333.739612 0.000000 6633.976740 0.000000
mAch 38.227147 0.000000 5.449738 0.000000

Parameter_1 Parameter_2 S2 S2_conf
alpha N 77.887411 0.000000
alpha M 56.970307 0.000000
alpha k1 390.160482 0.000000
alpha k2 -110.366521 0.000000
alpha tau1 43.971292 0.000000
alpha tau2 143.605687 0.000000
alpha tauAch -147.156887 0.000000
alpha tauNor -21.505918 0.000000
alpha beta -27.857077 0.000000
alpha h0 90.497012 0.000000
alpha mNor 952.103661 0.000000
alpha mAch 84.859779 0.000000
N M 281.780271 0.000000
N k1 1283.716032 0.000000
N k2 -221.418099 0.000000
N tau1 242.690947 0.000000
N tau2 542.301413 0.000000
N tauAch -332.050365 0.000000
N tauNor 45.794510 0.000000
N beta 26.695946 0.000000
N h0 382.598384 0.000000
N mNor 2973.534672 0.000000
N mAch 365.646666 0.000000
M k1 420.194593 0.000000
M k2 -58.086765 0.000000
M tau1 89.391589 0.000000
M tau2 184.597789 0.000000
M tauAch -93.242005 0.000000
M tauNor 26.824477 0.000000
M beta 20.755592 0.000000
M h0 133.849500 0.000000
M mNor 957.162519 0.000000
M mAch 128.462810 0.000000
k1 k2 -285.565074 0.000000
k1 tau1 -785.924452 0.000000
k1 tau2 -1108.936700 0.000000
k1 tauAch -166.291614 0.000000
k1 tauNor -573.648955 0.000000
k1 beta -553.058653 0.000000
k1 h0 -936.759690 0.000000
k1 mNor -3730.067169 0.000000
k1 mAch -918.483917 0.000000
k2 tau1 355.355830 0.000000
k2 tau2 468.274811 0.000000
k2 tauAch 138.743893 0.000000
k2 tauNor 281.148325 0.000000
k2 beta 273.950345 0.000000
k2 h0 408.084980 0.000000
k2 mNor 1384.572514 0.000000
k2 mAch 401.696115 0.000000
tau1 tau2 1305.037018 0.000000
tau1 tauAch -661.379501 0.000000
tau1 tauNor 188.393352 0.000000
tau1 beta 145.440695 0.000000
tau1 h0 945.865021 0.000000
tau1 mNor 6772.878872 0.000000
tau1 mAch 907.740619 0.000000
tau2 tauAch -431.502392 0.000000
tau2 tauNor -52.067489 0.000000
tau2 beta -71.246423 0.000000
tau2 h0 286.153705 0.000000
tau2 mNor 2887.993040 0.000000
tau2 mAch 269.130652 0.000000
tauAch tauNor 200.362629 0.000000
tauAch beta 228.386140 0.000000
tauAch h0 -293.833017 0.000000
tauAch mNor -4095.539388 0.000000
tauAch mAch -268.959593 0.000000
tauNor beta 359.976763 0.000000
tauNor h0 1922.542982 0.000000
tauNor mNor 13297.878162 0.000000
tauNor mAch 1848.117580 0.000000
beta h0 -1303.060255 0.000000
beta mNor -10350.993773 0.000000
beta mAch -1243.862343 0.000000
h0 mNor 1253.021314 0.000000
h0 mAch 123.730592 0.000000
mNor mAch -2144.321055 0.000000
