Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              33.771     -6.754          16.411     87.130
N                              14510057401745.482 14510057401709.045 29729004324271.434 145100574017103.688
M                                6988.763   6948.110       13867.805  69535.492
k1                             75881970747379.875 75881970747357.812 142792446019453.312 758819707473503.625
k2                             14510057401748.010 14510057401712.100 29652218249736.555 145100574017103.156
tau1                               40.136      9.823           9.561     63.141
tau2                               30.787      0.424           8.702     54.584
tauAch                           6990.791   6956.925       13823.710  69534.662
tauNor                             32.881     -0.756           9.329     58.406
beta                               47.249      2.403          18.168    102.962
h0                                 33.137     -1.344           8.260     54.357
mNor                               41.992     -9.429          10.933     70.395
mAch                               31.422     -0.753          10.118     60.922
