"_Elapsed_time_","_HR_","_PULSE_","_ABP_","_ABP_Sys_","_ABP_Dias_","_ABP_Mean_","_CVP_","_NBP_","_NBP_Sys_","_NBP_Dias_","_NBP_Mean_","_RESP_","_SpO2_","_PVC_Rate_per_Minute_","_Rhythm_Status_","_Ectopic_Status_","_Ectopic_Count_"
"0.000","69.000",NA,NA,"126.000","61.000","83.000",NA,NA,NA,NA,NA,NA,NA,NA,"63005.000",NA,NA
"1.000","73.000",NA,NA,"126.000","61.000","83.000",NA,NA,NA,NA,NA,NA,NA,NA,"63005.000",NA,NA
"2.000","70.000","69.000",NA,"127.000","62.000","84.000",NA,NA,NA,NA,NA,NA,"98.000",NA,"63005.000",NA,NA
"3.000","70.000","69.000",NA,"127.000","63.000","85.000",NA,NA,NA,NA,NA,NA,"98.000",NA,"63005.000",NA,NA
"4.000","70.000","69.000",NA,"128.000","64.000","86.000",NA,NA,NA,NA,NA,NA,"98.000",NA,"63005.000",NA,NA
"5.000","70.000",NA,NA,"129.000","65.000","86.000",NA,NA,NA,NA,NA,NA,"99.000",NA,"63005.000",NA,NA
"6.000","70.000","69.000",NA,"129.000","66.000","87.000",NA,NA,NA,NA,NA,NA,"99.000",NA,"63005.000",NA,NA
"7.000","70.000","69.000",NA,"129.000","67.000","88.000",NA,NA,NA,NA,NA,NA,"99.000","0.000","63004.000",NA,NA
"8.000","70.000","68.000",NA,"129.000","68.000","87.000",NA,NA,NA,NA,NA,NA,"99.000","0.000","63004.000",NA,NA
"9.000","70.000","68.000",NA,"129.000","67.000","87.000",NA,NA,NA,NA,NA,"0.000","99.000","0.000","63004.000",NA,NA
"10.000","70.000","68.000",NA,"129.000","67.000","87.000",NA,NA,NA,NA,NA,NA,"99.000","0.000","63004.000",NA,NA
"11.000","70.000","69.000",NA,"129.000","67.000","87.000",NA,NA,NA,NA,NA,NA,"98.000","0.000","63004.000",NA,NA
"12.000","70.000","69.000",NA,"130.000","68.000","87.000",NA,NA,NA,NA,NA,NA,"98.000","0.000","63004.000",NA,NA
"13.000","70.000","69.000",NA,"129.000","66.000","86.000",NA,NA,NA,NA,NA,NA,"98.000","0.000","63004.000",NA,NA
"14.000","70.000","69.000",NA,"129.000","67.000","87.000",NA,NA,NA,NA,NA,NA,"98.000","0.000","63004.000",NA,NA
"15.000","70.000","69.000",NA,"129.000","67.000","87.000",NA,NA,NA,NA,NA,NA,"97.000","0.000","63004.000",NA,NA
