"_Elapsed_time_","_HR_","_PULSE_","_ABP_Sys_","_ABP_Dias_","_ABP_Mean_","_PAP_Sys_","_PAP_Dias_","_PAP_Mean_","_ART_Sys_","_ART_Dias_","_ART_Mean_","_RESP_","_ST_I_","_ST_II_","_ST_III_","_ST_AVR_","_ST_AVL_","_ST_AVF_","_ST_V_","_ST_MCL_","_SpO2_","_PVC_Rate_per_Minute_","_Rhythm_Status_","_Ectopic_Status_"
"0.000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63005.000",NA
"1.000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2.000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3.000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4.000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5.000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6.000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7.000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8.000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9.000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11.000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12.000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13.000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14.000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15.000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16.000","97.000","98.000","95.000","63.000","82.000",NA,NA,NA,NA,NA,NA,"14.000",NA,NA,NA,NA,NA,NA,NA,NA,"98.000","0.000","63017.000","63062.000"
"17.000","97.000","97.000","95.000","63.000","82.000",NA,NA,NA,NA,NA,NA,"14.000",NA,NA,NA,NA,NA,NA,NA,NA,"98.000","0.000","63017.000","63062.000"
"18.000","97.000","97.000","95.000","63.000","82.000",NA,NA,NA,NA,NA,NA,"14.000",NA,NA,NA,NA,NA,NA,NA,NA,"99.000","0.000","63017.000","63062.000"
"19.000","96.000","97.000","94.000","63.000","81.000",NA,NA,NA,NA,NA,NA,"13.000",NA,NA,NA,NA,NA,NA,NA,NA,"99.000","0.000","63017.000","63062.000"
"20.000","96.000","97.000","94.000","62.000","81.000",NA,NA,NA,NA,NA,NA,"13.000",NA,NA,NA,NA,NA,NA,NA,NA,"99.000","0.000","63017.000","63062.000"
"21.000","96.000","97.000","94.000","62.000","81.000","37.000","20.000","28.000",NA,NA,NA,"13.000",NA,NA,NA,NA,NA,NA,NA,NA,"99.000","0.000","63017.000","63062.000"
"22.000","96.000","97.000","94.000","62.000","81.000","40.000","23.000","31.000",NA,NA,NA,"13.000",NA,NA,NA,NA,NA,NA,NA,NA,"99.000","0.000","63017.000","63062.000"
"23.000","96.000","97.000","94.000","62.000","80.000","40.000","24.000","31.000",NA,NA,NA,"13.000",NA,NA,NA,NA,NA,NA,NA,NA,"99.000","0.000","63014.000","63062.000"
"24.000","97.000","97.000","94.000","61.000","80.000","40.000","24.000","31.000",NA,NA,NA,"13.000",NA,NA,NA,NA,NA,NA,NA,NA,"99.000","0.000","63014.000","63062.000"
"25.000","97.000","96.000","94.000","62.000","81.000","39.000","21.000","29.000",NA,NA,NA,"13.000","0.000","0.500","0.600","-0.100","-0.200","0.500","2.400","2.600","99.000","0.000","63014.000","63062.000"
"26.000","97.000","96.000","94.000","62.000","80.000","41.000","25.000","32.000",NA,NA,NA,"13.000","0.000","0.500","0.600","-0.100","-0.200","0.500","2.400","2.600","98.000","0.000","63014.000","63062.000"
"27.000","97.000","96.000","94.000","61.000","80.000","42.000","26.000","33.000",NA,NA,NA,"14.000","0.000","0.500","0.600","-0.100","-0.200","0.500","2.400","2.600","98.000","0.000","63014.000","63062.000"
"28.000","97.000","96.000","94.000","62.000","80.000","41.000","25.000","32.000",NA,NA,NA,"14.000","0.000","0.500","0.600","-0.100","-0.200","0.500","2.400","2.600","98.000","0.000","63014.000","63062.000"
"29.000","97.000","96.000","94.000","62.000","81.000","41.000","26.000","32.000",NA,NA,NA,"14.000","0.000","0.500","0.600","-0.100","-0.200","0.500","2.400","2.600","98.000","0.000","63014.000","63062.000"
"30.000","98.000","95.000","94.000","62.000","80.000","43.000","28.000","34.000","100.000","62.000","84.000","13.000","0.000","0.500","0.600","-0.100","-0.200","0.500","2.400","2.600","98.000","0.000","63014.000","63062.000"
"31.000","98.000","95.000","94.000","62.000","80.000","42.000","27.000","33.000","99.000","61.000","84.000","13.000","0.000","0.500","0.600","-0.100","-0.200","0.500","2.400","2.600","98.000","0.000","63014.000","63062.000"
"32.000","98.000","95.000","94.000","62.000","81.000","42.000","27.000","33.000","100.000","61.000","84.000","13.000","0.000","0.500","0.600","-0.100","-0.200","0.500","2.400","2.600","98.000","0.000","63014.000","63062.000"
